symbol,date,archive_path,checksum_path,archive_exists,checksum_exists,archive_size_bytes,binance_checksum_line,binance_sha256
ADAUSDT,2023-06-01,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-01.zip,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-01.zip.CHECKSUM,True,True,17786747,aa9b1ae23bf2470bbb83ac04e454933a72aae47a2add37ef91f27882a782de20  ADAUSDT-bookTicker-2023-06-01.zip,aa9b1ae23bf2470bbb83ac04e454933a72aae47a2add37ef91f27882a782de20
ADAUSDT,2023-06-02,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-02.zip,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-02.zip.CHECKSUM,True,True,17459982,f1500214dc0af23746dd8a68f4ba1f03353249638f30c0b1d757036d945da13d  ADAUSDT-bookTicker-2023-06-02.zip,f1500214dc0af23746dd8a68f4ba1f03353249638f30c0b1d757036d945da13d
ADAUSDT,2023-06-03,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-03.zip,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-03.zip.CHECKSUM,True,True,13105911,6ba8df279d887dc75f32a31403af1fa52f903f2f0fc4e0c43676f4114e76953c  ADAUSDT-bookTicker-2023-06-03.zip,6ba8df279d887dc75f32a31403af1fa52f903f2f0fc4e0c43676f4114e76953c
ADAUSDT,2023-06-04,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-04.zip,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-04.zip.CHECKSUM,True,True,13965112,36f5866dbb2825253f019449040bd0f8daab4308f8f2e4cd3629148d1c94c4ae  ADAUSDT-bookTicker-2023-06-04.zip,36f5866dbb2825253f019449040bd0f8daab4308f8f2e4cd3629148d1c94c4ae
ADAUSDT,2023-06-05,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-05.zip,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-05.zip.CHECKSUM,True,True,23316172,fc86942cc6a3bbb727ecaffb383d0e2ef9949f0275299c7cfcf1833bb99b623a  ADAUSDT-bookTicker-2023-06-05.zip,fc86942cc6a3bbb727ecaffb383d0e2ef9949f0275299c7cfcf1833bb99b623a
ADAUSDT,2023-06-06,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-06.zip,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-06.zip.CHECKSUM,True,True,23743456,1d009e822b7a75949b41383348ef214aa6586a171b17610fb9afa8c1393a36bf  ADAUSDT-bookTicker-2023-06-06.zip,1d009e822b7a75949b41383348ef214aa6586a171b17610fb9afa8c1393a36bf
ADAUSDT,2023-06-07,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-07.zip,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-07.zip.CHECKSUM,True,True,28176604,878d4f016734ac85aa3090f1eb98daa02bc7b442603059edda5de1f55b6ec68f  ADAUSDT-bookTicker-2023-06-07.zip,878d4f016734ac85aa3090f1eb98daa02bc7b442603059edda5de1f55b6ec68f
ADAUSDT,2023-06-08,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-08.zip,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-08.zip.CHECKSUM,True,True,21224753,6ee1ed0992ec039e943a7ec164f3c094f54dcb01e5ea3123c6aa8b8ce6fe3e0d  ADAUSDT-bookTicker-2023-06-08.zip,6ee1ed0992ec039e943a7ec164f3c094f54dcb01e5ea3123c6aa8b8ce6fe3e0d
ADAUSDT,2023-06-09,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-09.zip,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-09.zip.CHECKSUM,True,True,29478100,b008fd23d42a20b7ecb7f080756014a730871ae43231e332e1b2e3410c190eea  ADAUSDT-bookTicker-2023-06-09.zip,b008fd23d42a20b7ecb7f080756014a730871ae43231e332e1b2e3410c190eea
ADAUSDT,2023-06-10,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-10.zip,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-10.zip.CHECKSUM,True,True,63722885,b851cea3153c8f7151f34ed8c7dabfacbd68139b5fca1da7adfabf0fa1e63f32  ADAUSDT-bookTicker-2023-06-10.zip,b851cea3153c8f7151f34ed8c7dabfacbd68139b5fca1da7adfabf0fa1e63f32
