k,rebalance_time,status,eligible_symbol_count,long_symbols,short_symbols,funding_pnl_bps,price_pnl_bps,cost_bps,gross_pnl_bps,net_pnl_bps
5,1685577600000,RESOLVED,20,TRXUSDT|ARBUSDT|AVAXUSDT|BNBUSDT|LTCUSDT,ADAUSDT|DOGEUSDT|OPUSDT|SOLUSDT|SUIUSDT,0.62962,24.36064287542003,6.0,24.99026287542003,18.99026287542003
5,1685606400000,RESOLVED,20,TRXUSDT|ATOMUSDT|BCHUSDT|ARBUSDT|BNBUSDT,OPUSDT|SOLUSDT|SUIUSDT|UNIUSDT|XRPUSDT,0.67948,1.4686122773985235,6.0,2.1480922773985234,-3.8519077226014766
5,1685635200000,RESOLVED,20,TRXUSDT|ADAUSDT|BNBUSDT|ATOMUSDT|BCHUSDT,OPUSDT|SOLUSDT|SUIUSDT|UNIUSDT|XRPUSDT,0.59788,62.514703536319445,6.0,63.11258353631945,57.11258353631945
5,1685664000000,RESOLVED,20,TRXUSDT|DOTUSDT|ATOMUSDT|ADAUSDT|BNBUSDT,LTCUSDT|OPUSDT|SOLUSDT|SUIUSDT|UNIUSDT,0.74504,-24.57608437854224,6.0,-23.83104437854224,-29.83104437854224
5,1685692800000,RESOLVED,20,TRXUSDT|BNBUSDT|BTCUSDT|ADAUSDT|APTUSDT,OPUSDT|SOLUSDT|SUIUSDT|UNIUSDT|XRPUSDT,0.15268000000000004,15.681873456235241,6.0,15.834553456235241,9.834553456235241
5,1685721600000,RESOLVED,20,TRXUSDT|BNBUSDT|ETHUSDT|BTCUSDT|ADAUSDT,OPUSDT|SOLUSDT|SUIUSDT|UNIUSDT|XRPUSDT,0.25382000000000005,82.94969787330909,6.0,83.2035178733091,77.2035178733091
5,1685750400000,RESOLVED,20,TRXUSDT|BTCUSDT|BNBUSDT|ATOMUSDT|ADAUSDT,OPUSDT|SOLUSDT|SUIUSDT|UNIUSDT|XRPUSDT,0.6850200000000001,-17.59327949095655,6.0,-16.90825949095655,-22.90825949095655
5,1685779200000,RESOLVED,20,TRXUSDT|BNBUSDT|ETHUSDT|ADAUSDT|APTUSDT,OPUSDT|SOLUSDT|SUIUSDT|UNIUSDT|XRPUSDT,0.83877,-38.54836834838377,6.0,-37.70959834838377,-43.70959834838377
5,1685808000000,RESOLVED,20,TRXUSDT|BNBUSDT|ETHUSDT|BTCUSDT|ADAUSDT,OPUSDT|SOLUSDT|SUIUSDT|UNIUSDT|XRPUSDT,0.42997,1.1237046265661765,6.0,1.5536746265661765,-4.446325373433823
5,1685836800000,RESOLVED,20,TRXUSDT|BNBUSDT|ETHUSDT|BTCUSDT|ADAUSDT,OPUSDT|SOLUSDT|SUIUSDT|UNIUSDT|XRPUSDT,0.40819000000000005,-74.7506787294357,6.0,-74.3424887294357,-80.3424887294357
5,1685865600000,RESOLVED,20,ATOMUSDT|BNBUSDT|ETHUSDT|ADAUSDT|APTUSDT,SOLUSDT|SUIUSDT|TRXUSDT|UNIUSDT|XRPUSDT,0.1924,-21.83212569063796,6.0,-21.63972569063796,-27.63972569063796
5,1685894400000,RESOLVED,20,ETHUSDT|ADAUSDT|APTUSDT|ARBUSDT|ATOMUSDT,SUIUSDT|TRXUSDT|UNIUSDT|XRPUSDT|BNBUSDT,0.07927,-54.31451515783872,6.0,-54.23524515783872,-60.23524515783872
5,1685923200000,RESOLVED,20,ETHUSDT|ADAUSDT|APTUSDT|ARBUSDT|ATOMUSDT,SUIUSDT|TRXUSDT|UNIUSDT|XRPUSDT|BNBUSDT,0.09831000000000004,-1.9456241624504635,6.0,-1.8473141624504634,-7.847314162450464
5,1685952000000,RESOLVED,20,BNBUSDT|ETHUSDT|BTCUSDT|ADAUSDT|APTUSDT,SOLUSDT|SUIUSDT|TRXUSDT|UNIUSDT|XRPUSDT,0.18154000000000003,73.09652842169783,6.0,73.27806842169782,67.27806842169782
5,1685980800000,RESOLVED,20,BNBUSDT|ARBUSDT|BCHUSDT|ETHUSDT|BTCUSDT,SOLUSDT|SUIUSDT|TRXUSDT|UNIUSDT|XRPUSDT,0.29649,-7.598991703582443,6.0,-7.302501703582442,-13.302501703582443
5,1686009600000,RESOLVED,20,BCHUSDT|DOTUSDT|DOGEUSDT|TRXUSDT|ATOMUSDT,BNBUSDT|SUIUSDT|LTCUSDT|AVAXUSDT|OPUSDT,1.2982199999999997,10.593242728983354,6.0,11.891462728983353,5.8914627289833525
5,1686038400000,RESOLVED,20,ATOMUSDT|DOGEUSDT|TRXUSDT|BCHUSDT|DOTUSDT,ARBUSDT|OPUSDT|AVAXUSDT|LTCUSDT|XRPUSDT,0.9243100000000001,-96.78051978221758,6.0,-95.85620978221758,-101.85620978221758
