venue,market_type,contract_type,symbol,interval,open_time,close_time,cost_available_time,spread_sample_count_1h,median_spread_bps_1h,p95_spread_bps_1h,p99_spread_bps_1h,min_spread_bps_1h,max_spread_bps_1h,first_event_time,last_event_time,max_sample_gap_ms,stale_gap_count_1h,source_path,source_checksum,dataset_version,execution_cost_quality,normalized_at
BINANCE,USD_M_FUTURES,PERPETUAL,ATOMUSDT,1h,1685577600000,1685581199999,1685581200000,53121,0.9592786224770705,1.9078508060676027,1.9240019240025665,0.9535160905835001,13.478386444593575,1685577600050,1685581199947,5742.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ATOMUSDT/ATOMUSDT-bookTicker-2023-06-01.zip,fbc225039e37a2dd80d5a27e4682a56e53e887ccb2ad7691e742eb5e3cb10da5,sprint7_cost_all_candidates_202306,VERIFIED,2026-07-02T13:22:53.517816+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ATOMUSDT,1h,1685581200000,1685584799999,1685584800000,30571,0.9615846915728854,0.9627882347289483,1.9240019240025665,0.9596468499586831,3.849114703617744,1685581200064,1685584799891,5194.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ATOMUSDT/ATOMUSDT-bookTicker-2023-06-01.zip,fbc225039e37a2dd80d5a27e4682a56e53e887ccb2ad7691e742eb5e3cb10da5,sprint7_cost_all_candidates_202306,VERIFIED,2026-07-02T13:22:53.526772+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ATOMUSDT,1h,1685584800000,1685588399999,1685588400000,35488,0.9641806874602956,1.9374212922606489,3.8733417255750324,0.9613997981055097,19.37796725123493,1685584800002,1685588399943,6270.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ATOMUSDT/ATOMUSDT-bookTicker-2023-06-01.zip,fbc225039e37a2dd80d5a27e4682a56e53e887ccb2ad7691e742eb5e3cb10da5,sprint7_cost_all_candidates_202306,VERIFIED,2026-07-02T13:22:53.536838+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ATOMUSDT,1h,1685588400000,1685591999999,1685592000000,82514,0.973567638611153,0.978329990705323,1.9495077492939543,0.9696029475924232,4.8735318485313925,1685588400053,1685591999749,2078.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ATOMUSDT/ATOMUSDT-bookTicker-2023-06-01.zip,fbc225039e37a2dd80d5a27e4682a56e53e887ccb2ad7691e742eb5e3cb10da5,sprint7_cost_all_candidates_202306,VERIFIED,2026-07-02T13:22:53.559256+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ATOMUSDT,1h,1685592000000,1685595599999,1685595600000,43406,0.97746933189917,0.9786172138762499,1.9544610573640846,0.9750865389297895,2.9341288082547936,1685592000057,1685595599618,6256.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ATOMUSDT/ATOMUSDT-bookTicker-2023-06-01.zip,fbc225039e37a2dd80d5a27e4682a56e53e887ccb2ad7691e742eb5e3cb10da5,sprint7_cost_all_candidates_202306,VERIFIED,2026-07-02T13:22:53.571422+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ATOMUSDT,1h,1685595600000,1685599199999,1685599200000,29213,0.9712981399635237,0.9763241396138108,1.940617116243613,0.9691331104339024,2.9198501143609072,1685595600003,1685599199556,4996.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ATOMUSDT/ATOMUSDT-bookTicker-2023-06-01.zip,fbc225039e37a2dd80d5a27e4682a56e53e887ccb2ad7691e742eb5e3cb10da5,sprint7_cost_all_candidates_202306,VERIFIED,2026-07-02T13:22:53.581379+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ATOMUSDT,1h,1685599200000,1685602799999,1685602800000,22705,0.9697910100367996,0.9706381946141444,1.9362958660089726,0.9676326866333369,3.8808576695445423,1685599200056,1685602799893,5408.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ATOMUSDT/ATOMUSDT-bookTicker-2023-06-01.zip,fbc225039e37a2dd80d5a27e4682a56e53e887ccb2ad7691e742eb5e3cb10da5,sprint7_cost_all_candidates_202306,VERIFIED,2026-07-02T13:22:53.588269+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ATOMUSDT,1h,1685602800000,1685606399999,1685606400000,28127,0.9709209184923755,0.9727153348584429,1.9421246844036626,0.969227041433919,2.9172946953859227,1685602800060,1685606399930,6082.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ATOMUSDT/ATOMUSDT-bookTicker-2023-06-01.zip,fbc225039e37a2dd80d5a27e4682a56e53e887ccb2ad7691e742eb5e3cb10da5,sprint7_cost_all_candidates_202306,VERIFIED,2026-07-02T13:22:53.596479+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ATOMUSDT,1h,1685606400000,1685609999999,1685610000000,24736,0.9716756546659339,0.9727153348584429,1.9434457292786589,0.9702614854715201,3.887269193391215,1685606400000,1685609999118,6248.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ATOMUSDT/ATOMUSDT-bookTicker-2023-06-01.zip,fbc225039e37a2dd80d5a27e4682a56e53e887ccb2ad7691e742eb5e3cb10da5,sprint7_cost_all_candidates_202306,VERIFIED,2026-07-02T13:22:53.603811+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ATOMUSDT,1h,1685610000000,1685613599999,1685613600000,22767,0.9686637283861538,0.9712981399635237,1.9381122175285979,0.9665104141491768,2.906554279901287,1685610000150,1685613599786,5698.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ATOMUSDT/ATOMUSDT-bookTicker-2023-06-01.zip,fbc225039e37a2dd80d5a27e4682a56e53e887ccb2ad7691e742eb5e3cb10da5,sprint7_cost_all_candidates_202306,VERIFIED,2026-07-02T13:22:53.610630+00:00
