venue,market_type,contract_type,symbol,quote_asset,interval,open_time,close_time,open,high,low,close,volume_base,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,source_path,source_checksum,dataset_version,base_asset,mark_open,mark_high,mark_low,mark_close,index_open,index_high,index_low,index_close,premium_open,premium_high,premium_low,premium_close,funding_time,funding_rate_asof,funding_interval_hours,price_for_research,log_price,is_complete_bar,quality_flags,return_1h,execution_cost_quality,normalized_at
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,USDT,1h,1685577600000,1685581199999,0.3743,0.3757,0.3714,0.3718,24358858.0,9098382.8495,15640.0,11423679.0,4267385.0677,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ADAUSDT/1h/ADAUSDT-1h-2023-06.zip,177c3d21c0c01a971f130f80d98ff9dcacd631439e8140f351f8aadfe15b0586,sprint7_binance_usdm_202306_202605,ADA,0.3743,0.37552661,0.3715,0.3718,0.3743558,0.37556625,0.37153452,0.37189357,-0.00014907,0.00074943,-0.00112956,0.0,1685577600008,0.0001,8.0,0.3718,-0.9893992036947934,True,,,UNAVAILABLE,2026-07-01T15:52:42.881419+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,USDT,1h,1685581200000,1685584799999,0.3718,0.3722,0.3707,0.3708,15143124.0,5624147.5928,9952.0,8086434.0,3003741.899,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ADAUSDT/1h/ADAUSDT-1h-2023-06.zip,177c3d21c0c01a971f130f80d98ff9dcacd631439e8140f351f8aadfe15b0586,sprint7_binance_usdm_202306_202605,ADA,0.3718,0.3722,0.3708,0.37085254,0.37180054,0.37217342,0.37084223,0.37090699,0.0,0.00025353,-0.000797,-1.88e-05,1685577600008,0.0001,8.0,0.37085254,-0.991950761692649,True,,-0.0025515579978555,UNAVAILABLE,2026-07-01T15:52:42.881419+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,USDT,1h,1685584800000,1685588399999,0.3708,0.3711,0.3644,0.3645,74110508.0,27216869.5413,40577.0,25305605.0,9297953.9521,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ADAUSDT/1h/ADAUSDT-1h-2023-06.zip,177c3d21c0c01a971f130f80d98ff9dcacd631439e8140f351f8aadfe15b0586,sprint7_binance_usdm_202306_202605,ADA,0.37085589,0.37108529,0.36450324,0.36450628,0.37091034,0.3710702,0.36482167,0.36486861,-2.788e-05,0.00107731,-0.00179301,-0.00101596,1685577600008,0.0001,8.0,0.36450628,-1.0092114986009102,True,,-0.0172607369082612,UNAVAILABLE,2026-07-01T15:52:42.881419+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,USDT,1h,1685588400000,1685591999999,0.3644,0.3657,0.3625,0.3649,63427256.0,23113684.3139,42186.0,26765790.0,9755429.9303,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ADAUSDT/1h/ADAUSDT-1h-2023-06.zip,177c3d21c0c01a971f130f80d98ff9dcacd631439e8140f351f8aadfe15b0586,sprint7_binance_usdm_202306_202605,ADA,0.36455322,0.3656,0.36286096,0.36492368,0.3648682,0.36566599,0.36323901,0.36511685,-0.00100522,0.00053167,-0.00291535,-0.00059473,1685577600008,0.0001,8.0,0.36492368,-1.00806704315365,True,,0.0011444554472601,UNAVAILABLE,2026-07-01T15:52:42.881419+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,USDT,1h,1685592000000,1685595599999,0.3648,0.3652,0.3636,0.3644,18177897.0,6623969.7079,10927.0,8158240.0,2973144.5261,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ADAUSDT/1h/ADAUSDT-1h-2023-06.zip,177c3d21c0c01a971f130f80d98ff9dcacd631439e8140f351f8aadfe15b0586,sprint7_binance_usdm_202306_202605,ADA,0.36492368,0.3652,0.3637,0.36433563,0.36511687,0.36533803,0.36389131,0.36447825,-0.00059397,0.0,-0.0010549,-0.00021465,1685577600008,0.0001,8.0,0.36433563,-1.009679775742433,True,,-0.0016127325887829,UNAVAILABLE,2026-07-01T15:52:42.881419+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,USDT,1h,1685595600000,1685599199999,0.3643,0.3654,0.3639,0.3651,12114405.0,4418120.0141,8812.0,5642867.0,2057952.9259,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ADAUSDT/1h/ADAUSDT-1h-2023-06.zip,177c3d21c0c01a971f130f80d98ff9dcacd631439e8140f351f8aadfe15b0586,sprint7_binance_usdm_202306_202605,ADA,0.36434283,0.3654,0.3639,0.3651,0.36448523,0.36548304,0.3640586,0.36526673,-0.00023384,0.0,-0.0010353,-0.0001795,1685577600008,0.0001,8.0,0.3651,-1.007583990320546,True,,0.002095785421887,UNAVAILABLE,2026-07-01T15:52:42.881419+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,USDT,1h,1685599200000,1685602799999,0.3651,0.3652,0.3642,0.3643,8190459.0,2987087.7248,6002.0,3540536.0,1291386.947,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ADAUSDT/1h/ADAUSDT-1h-2023-06.zip,177c3d21c0c01a971f130f80d98ff9dcacd631439e8140f351f8aadfe15b0586,sprint7_binance_usdm_202306_202605,ADA,0.3651,0.36511918,0.36422381,0.3643,0.36526715,0.36531367,0.36445045,0.36453578,-0.00018385,0.0,-0.00106981,-0.0006466,1685577600008,0.0001,8.0,0.3643,-1.009777574967619,True,,-0.002193584647073,UNAVAILABLE,2026-07-01T15:52:42.881419+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,USDT,1h,1685602800000,1685606399999,0.3643,0.3644,0.363,0.3632,15017028.0,5464340.8694,10056.0,7173240.0,2610438.5744,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ADAUSDT/1h/ADAUSDT-1h-2023-06.zip,177c3d21c0c01a971f130f80d98ff9dcacd631439e8140f351f8aadfe15b0586,sprint7_binance_usdm_202306_202605,ADA,0.3643,0.36432293,0.3631,0.36331417,0.36453578,0.36454051,0.36335033,0.36355424,-0.00064681,0.0,-0.0011595,-0.00073772,1685577600008,0.0001,8.0,0.36331417,-1.0124873369372906,True,,-0.0027097619696716,UNAVAILABLE,2026-07-01T15:52:42.881419+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,USDT,1h,1685606400000,1685609999999,0.3633,0.3633,0.3618,0.3627,21802761.0,7899038.4567,15454.0,9496729.0,3440832.5389,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ADAUSDT/1h/ADAUSDT-1h-2023-06.zip,177c3d21c0c01a971f130f80d98ff9dcacd631439e8140f351f8aadfe15b0586,sprint7_binance_usdm_202306_202605,ADA,0.36331417,0.36335161,0.36194251,0.36282107,0.36355468,0.36359142,0.36209115,0.36290575,-0.00070053,0.0,-0.00129524,-9.067e-05,1685606400012,0.0001,8.0,0.36282107,-1.013845486352533,True,,-0.0013581494152423,UNAVAILABLE,2026-07-01T15:52:42.881419+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,USDT,1h,1685610000000,1685613599999,0.3627,0.363,0.3619,0.362,12370469.0,4485040.2382,9309.0,6144634.0,2228093.1973,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ADAUSDT/1h/ADAUSDT-1h-2023-06.zip,177c3d21c0c01a971f130f80d98ff9dcacd631439e8140f351f8aadfe15b0586,sprint7_binance_usdm_202306_202605,ADA,0.36282107,0.36297821,0.36199809,0.3621,0.36290575,0.36300354,0.36217492,0.36217492,-0.00024395,0.0,-0.00081154,-0.00023048,1685606400012,0.0001,8.0,0.3621,-1.0158348622105415,True,,-0.0019893758580085,UNAVAILABLE,2026-07-01T15:52:42.881419+00:00
