venue,market_type,contract_type,symbol,interval,open_time,close_time,cost_available_time,spread_sample_count_1h,median_spread_bps_1h,p95_spread_bps_1h,p99_spread_bps_1h,min_spread_bps_1h,max_spread_bps_1h,first_event_time,last_event_time,max_sample_gap_ms,stale_gap_count_1h,source_path,source_checksum,dataset_version,execution_cost_quality,normalized_at
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,1h,1685577600000,1685581199999,1685581200000,64900,2.6741542987027405,2.6907036189960714,2.692152375824175,2.662052442432823,10.74691026329961,1685577600041,1685581199648,5525.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-01.zip,aa9b1ae23bf2470bbb83ac04e454933a72aae47a2add37ef91f27882a782de20,sprint7_cost_pilot_202306,VERIFIED,2026-07-01T20:25:14.318809+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,1h,1685581200000,1685584799999,1685584800000,54906,2.6936026936038924,2.6965080221110687,2.697235333784073,2.6870885395670827,5.39374325782183,1685581200024,1685584799967,2792.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-01.zip,aa9b1ae23bf2470bbb83ac04e454933a72aae47a2add37ef91f27882a782de20,sprint7_cost_pilot_202306,VERIFIED,2026-07-01T20:25:14.334365+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,1h,1685584800000,1685588399999,1685588400000,85024,2.7177605652938985,2.7423556835333742,5.399568034556641,2.695054574854844,13.63326516700751,1685584800043,1685588399997,2701.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-01.zip,aa9b1ae23bf2470bbb83ac04e454933a72aae47a2add37ef91f27882a782de20,sprint7_cost_pilot_202306,VERIFIED,2026-07-01T20:25:14.357343+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,1h,1685588400000,1685591999999,1685592000000,88610,2.7423556835333742,2.7521673317734687,2.7567195037901855,2.7348557363611237,5.515719801435011,1685588400024,1685591999950,2022.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-01.zip,aa9b1ae23bf2470bbb83ac04e454933a72aae47a2add37ef91f27882a782de20,sprint7_cost_pilot_202306,VERIFIED,2026-07-01T20:25:14.381314+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,1h,1685592000000,1685595599999,1685595600000,44949,2.7438606118806144,2.748385323622069,2.7498968788682663,2.73860057510734,5.499037668408948,1685592000020,1685595599700,3458.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-01.zip,aa9b1ae23bf2470bbb83ac04e454933a72aae47a2add37ef91f27882a782de20,sprint7_cost_pilot_202306,VERIFIED,2026-07-01T20:25:14.394286+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,1h,1685595600000,1685599199999,1685599200000,38567,2.7423556835333742,2.7468754291989836,2.7476301689789526,2.7371014096069244,5.49450549450489,1685595600054,1685599199913,2937.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-01.zip,aa9b1ae23bf2470bbb83ac04e454933a72aae47a2add37ef91f27882a782de20,sprint7_cost_pilot_202306,VERIFIED,2026-07-01T20:25:14.405433+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,1h,1685599200000,1685602799999,1685602800000,35078,2.7423556835333742,2.7446136956220393,2.745367192861743,2.73860057510734,5.489980785066648,1685599200089,1685602799647,2538.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-01.zip,aa9b1ae23bf2470bbb83ac04e454933a72aae47a2add37ef91f27882a782de20,sprint7_cost_pilot_202306,VERIFIED,2026-07-01T20:25:14.415674+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,1h,1685602800000,1685606399999,1685606400000,46163,2.748385323622069,2.7529249827939153,2.7544415369780744,2.7446136956220393,5.508124483614253,1685602800031,1685606399594,2743.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-01.zip,aa9b1ae23bf2470bbb83ac04e454933a72aae47a2add37ef91f27882a782de20,sprint7_cost_pilot_202306,VERIFIED,2026-07-01T20:25:14.428803+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,1h,1685606400000,1685609999999,1685610000000,48662,2.759762660410901,2.762049440684684,2.762812543168642,2.7529249827939153,5.526388505111301,1685606400059,1685609999391,3924.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-01.zip,aa9b1ae23bf2470bbb83ac04e454933a72aae47a2add37ef91f27882a782de20,sprint7_cost_pilot_202306,VERIFIED,2026-07-01T20:25:14.442686+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ADAUSDT,1h,1685610000000,1685613599999,1685613600000,45100,2.7574796635887076,2.762049440684684,2.762049440684684,2.755200440831767,5.524861878452431,1685610000014,1685613599386,2199.0,0,data/research/binance_public/cost_pilot/raw/data/futures/um/daily/bookTicker/ADAUSDT/ADAUSDT-bookTicker-2023-06-01.zip,aa9b1ae23bf2470bbb83ac04e454933a72aae47a2add37ef91f27882a782de20,sprint7_cost_pilot_202306,VERIFIED,2026-07-01T20:25:14.455553+00:00
