pair,cost_gated_pass,combined_median_spread_bps,combined_p95_spread_bps,combined_p99_spread_bps,reasons
ARBUSDT/OPUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
BTCUSDT/ETHUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ARBUSDT/ETHUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ADAUSDT/DOTUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ARBUSDT/ETCUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ETCUSDT/ETHUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ARBUSDT/DOTUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ETHUSDT/LINKUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
AVAXUSDT/DOTUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
DOTUSDT/ETCUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ATOMUSDT/DOTUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ADAUSDT/AVAXUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ADAUSDT/ETCUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ADAUSDT/LINKUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ADAUSDT/DOGEUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
DOTUSDT/LINKUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ARBUSDT/LINKUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
AVAXUSDT/LINKUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ARBUSDT/AVAXUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ADAUSDT/ETHUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ETCUSDT/LINKUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ADAUSDT/ARBUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
AVAXUSDT/SOLUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ETCUSDT/OPUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ETHUSDT/SOLUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
DOGEUSDT/ETCUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
AVAXUSDT/ETHUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
DOGEUSDT/ETHUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
AVAXUSDT/ETCUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
DOTUSDT/ETHUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ARBUSDT/ATOMUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
DOTUSDT/OPUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ETHUSDT/OPUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ADAUSDT/XRPUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ADAUSDT/ATOMUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ETCUSDT/LTCUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ETHUSDT/UNIUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
DOGEUSDT/DOTUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
BTCUSDT/SOLUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ADAUSDT/SOLUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
ATOMUSDT/ETCUSDT,False,nan,nan,nan,LEG_COST_EVIDENCE_INCOMPLETE;PAIR_WIDE_MEDIAN_SPREAD;PAIR_WIDE_TAIL_SPREAD
