pair,statistical_status,cost_gated_pass,observations,pair_selection_score,pair_selection_correlation,funding_carry_bps_per_day,kalman_beta_latest,kalman_alpha_latest,kalman_beta_unstable,adf_p_value,kpss_p_value,stationarity_status,preliminary_half_life,ou_status,ou_theta,ou_mu,ou_sigma,ou_half_life,latest_rolling_zscore,reasons
ARBUSDT/OPUSDT,ACCEPT,False,26304,0.843934632953,0.8439346329534084,6.0,0.7627215388382232,-0.6435518708641218,False,0.0,0.1,WARN,2.3553599576494237,MEAN_REVERTING,0.3485438510853524,-2.7229524831962032e-05,0.0044476053080065294,1.9886943304307654,0.7693394757031964,historical z-score outlier exceeds stability threshold
BTCUSDT/ETHUSDT,ACCEPT,False,26304,0.829051526985,0.8290515269853589,4.0707,0.5977370074677615,6.662600947461703,False,0.0,0.08589001684581206,WARN,1.2173798693471198,MEAN_REVERTING,0.8425205318224,2.6499885983315526e-05,0.0017992954348320061,0.8227065743556953,-1.053052356369921,historical z-score outlier exceeds stability threshold
ARBUSDT/ETHUSDT,ACCEPT,False,26304,0.815144435379,0.8151444353787677,5.0808,1.060821263217509,-10.337795835091256,False,0.0,0.1,WARN,1.240482749504152,MEAN_REVERTING,0.8181938110654092,-7.321948293027722e-05,0.0038625910645723833,0.8471674695966781,1.442619346374173,historical z-score outlier exceeds stability threshold
ADAUSDT/DOTUSDT,ACCEPT,False,26304,0.812081529296,0.8120815292958644,6.0,0.6802932933795912,-1.5624013265167842,False,0.0,0.1,WARN,2.2515047726833055,MEAN_REVERTING,0.3679663394472777,6.19148604054225e-05,0.004718516675374691,1.8837244232750252,-0.3626060147720247,historical z-score outlier exceeds stability threshold;rolling standard deviation ratio exceeds stability threshold
ARBUSDT/ETCUSDT,ACCEPT,False,26304,0.81101436299,0.8110143629896615,6.0,1.0353623406467702,-4.4491300440438675,False,0.0,0.1,WARN,1.8981834420395345,MEAN_REVERTING,0.4543876866922697,-0.00011810883380088678,0.004862403379925319,1.52545326570298,1.2917359051089483,historical z-score outlier exceeds stability threshold
ETCUSDT/ETHUSDT,ACCEPT,False,26304,0.80653882042,0.8065388204197638,5.0808,0.8346054778617565,-4.245813919189813,False,0.0,0.1,WARN,1.1357769507695694,MEAN_REVERTING,0.9423385463847549,-2.349576491483418e-05,0.0035194213073290407,0.7355606785047448,1.0043503825968814,historical z-score outlier exceeds stability threshold
ARBUSDT/DOTUSDT,ACCEPT,False,26304,0.795231290345,0.7952312903451715,6.0,0.8645745915334919,-2.4203259014445844,False,0.0,0.1,WARN,2.29058960776831,MEAN_REVERTING,0.3604053877535205,-9.186574444832434e-05,0.005150062792629315,1.9232431148725926,0.9324213356038062,historical z-score outlier exceeds stability threshold
ETHUSDT/LINKUSDT,ACCEPT,False,26304,0.794781385386,0.7947813853860217,5.0808,0.7978301906847981,5.840948097807181,False,0.0,0.1,WARN,2.1001504186992874,MEAN_REVERTING,0.4005468905372303,-7.037440364047949e-06,0.0031591905643389125,1.7305019635285825,-1.272221164724695,historical z-score outlier exceeds stability threshold
AVAXUSDT/DOTUSDT,ACCEPT,False,26304,0.791653030371,0.7916530303707854,6.0,0.7042478707356008,2.0726586765429102,False,0.0,0.1,WARN,2.162191508223812,MEAN_REVERTING,0.38651022235372945,4.9551968502935816e-05,0.005078603699956194,1.793347602396879,0.41269231545393437,historical z-score outlier exceeds stability threshold
DOTUSDT/ETCUSDT,ACCEPT,False,26304,0.791624779187,0.79162477918689,6.0,0.9469237341451099,-1.8210166402296704,False,0.0,0.1,WARN,1.8788084657174906,MEAN_REVERTING,0.46033711559441115,-5.644325838516804e-05,0.00441176605737063,1.5057382015893237,0.882219581302032,historical z-score outlier exceeds stability threshold
ATOMUSDT/DOTUSDT,ACCEPT,False,26304,0.788853113141,0.7888531131411533,6.0,0.5611810051515134,0.5740444358063298,False,0.0,0.1,WARN,2.218671760539556,MEAN_REVERTING,0.37457037298309703,-4.340454472415361e-05,0.004063147867727734,1.8505125620045353,0.02904932036761783,historical z-score outlier exceeds stability threshold
ADAUSDT/AVAXUSDT,ACCEPT,False,26304,0.786639377246,0.786639377246175,6.0,0.8701368582922783,-3.3548519074700907,False,0.0,0.1,WARN,1.9006494159036786,MEAN_REVERTING,0.45364166785763943,1.3422104753178875e-05,0.0047531122455466744,1.527961890787922,-0.62941391086002,historical z-score outlier exceeds stability threshold
ADAUSDT/ETCUSDT,ACCEPT,False,26304,0.785224304723,0.7852243047228031,6.0,0.8535516538344834,-3.2409554636443367,False,0.0,0.1,WARN,1.952831644819475,MEAN_REVERTING,0.43841918039846023,3.6195874785231705e-06,0.004903759952590602,1.5810147264313887,0.2847895074790404,historical z-score outlier exceeds stability threshold
ADAUSDT/LINKUSDT,ACCEPT,False,26304,0.781099382047,0.7810993820467727,6.0,0.8859118143563693,-3.4074448027924786,False,0.0,0.1,WARN,2.0426636818613035,MEAN_REVERTING,0.4145083014231945,-4.4426197075406055e-05,0.004829589114208901,1.6722154373749754,0.5343443472163847,historical z-score outlier exceeds stability threshold
ADAUSDT/DOGEUSDT,ACCEPT,False,26304,0.779950888016,0.7799508880164205,5.8266,0.8538011209314396,0.5157193444498835,False,0.0,0.1,WARN,2.2665192116260315,MEAN_REVERTING,0.3650241610600121,-1.7867840719383684e-05,0.005111807805773501,1.898907673801866,0.6408998257131975,historical z-score outlier exceeds stability threshold
DOTUSDT/LINKUSDT,ACCEPT,False,26304,0.777265592151,0.7772655921509842,6.0,0.9479786986233719,-1.9286511380431772,False,0.0,0.1,WARN,1.993408682656804,MEAN_REVERTING,0.4272806795463856,-0.00010512530774332185,0.004438068541078478,1.6222291663077577,1.0758344749723652,historical z-score outlier exceeds stability threshold
ARBUSDT/LINKUSDT,ACCEPT,False,26304,0.776868098066,0.7768680980660289,6.0,1.0260912897317183,-4.54374310562483,False,0.0,0.1,WARN,2.107906154546342,MEAN_REVERTING,0.3987359307910373,-0.00018182470123718364,0.005089449878410139,1.7383614744345626,1.4709820853973268,historical z-score outlier exceeds stability threshold
AVAXUSDT/LINKUSDT,ACCEPT,False,26304,0.774469455874,0.7744694558737862,6.0,0.9050904646376745,0.1894573303301929,False,0.0,0.1,WARN,2.076898516839094,MEAN_REVERTING,0.4060775125129543,-4.835659757460677e-05,0.00497092014421817,1.7069331819693736,1.4731097223785303,historical z-score outlier exceeds stability threshold
ARBUSDT/AVAXUSDT,ACCEPT,False,26304,0.772036315948,0.7720363159480187,6.0,1.0083545982700275,-4.484011314164197,False,0.0,0.1,WARN,1.9338917467872663,MEAN_REVERTING,0.44382276567480655,-0.00011792960191688171,0.005152050241402302,1.5617657185882647,0.8285679187199133,historical z-score outlier exceeds stability threshold
